customer_id,full_name,city,state,total_orders,total_spent,avg_order_value,customer_segment
19,Lizzette Stein,Orchard Park,NY,3,451839.2043,150613.0681,High Spender
730,Andria Rivers,Amarillo,TX,1,432702.54,432702.54,High Spender
1226,Qiana Jackson,East Northport,NY,1,198805.01,198805.01,High Spender
1002,Cami Williamson,Massapequa,NY,1,123367.22,123367.22,High Spender
222,Anya Contreras,East Northport,NY,1,80696.6907,80696.6907,High Spender
1342,Lekisha Pope,Freeport,NY,1,52778.12,52778.12,High Spender
94,Sharyn Hopkins,Baldwinsville,NY,2,34807.9392,17403.9696,High Spender
10,Pamelia Newman,Monroe,NY,3,33634.2604,11211.420133333333,High Spender
75,Abby Gamble,Amityville,NY,2,32803.0062,16401.5031,High Spender
6,Lyndsey Bean,Fairport,NY,3,32675.072500000002,10891.690833333334,High Spender
16,Emmitt Sanchez,New York,NY,3,31925.8857,10641.9619,High Spender
73,Melanie Hayes,Liverpool,NY,2,31913.690199999997,15956.845099999999,High Spender
1,Debra Burks,Orchard Park,NY,3,27888.183399999998,9296.061133333333,High Spender
61,Elinore Aguilar,San Angelo,TX,3,25636.4531,8545.484366666666,High Spender
93,Corrina Sawyer,Troy,NY,2,25612.702100000002,12806.351050000001,High Spender
122,Shena Carter,Howard Beach,NY,1,24890.6244,24890.6244,High Spender
1224,Abram Copeland,Harlingen,TX,1,24607.0261,24607.0261,High Spender
9,Genoveva Baldwin,Port Washington,NY,3,24433.8818,8144.627266666666,High Spender
12,Robby Sykes,Hempstead,NY,3,24305.1394,8101.713133333334,High Spender
3,Tameka Fisher,Redondo Beach,CA,3,24051.5279,8017.175966666667,High Spender
85,Teofila Fischer,Huntington Station,NY,2,23195.0754,11597.5377,High Spender
43,Mozelle Carter,Houston,TX,3,23049.057,7683.019,High Spender
66,Lorrie Becker,Garland,TX,3,23026.2923,7675.430766666667,High Spender
35,Guillermina Noble,Baldwinsville,NY,2,22061.0729,11030.53645,High Spender
136,Sarita Parks,Forney,TX,2,21830.9799,10915.48995,High Spender
38,Zelma Browning,Astoria,NY,2,21535.6665,10767.83325,High Spender
58,Damien Dorsey,Central Islip,NY,2,21514.461499999998,10757.230749999999,High Spender
4,Daryl Spence,Uniondale,NY,3,21150.892699999997,7050.297566666665,High Spender
1214,Brigid Sharp,Santa Clara,CA,1,20648.9537,20648.9537,High Spender
425,Augustina Joyner,Mount Vernon,NY,1,20509.4254,20509.4254,High Spender
238,Cindi Larson,Howard Beach,NY,1,20177.7457,20177.7457,High Spender
63,Tenisha Lyons,Amityville,NY,2,20086.3708,10043.1854,High Spender
28,Jeanice Frost,Ossining,NY,2,19992.8648,9996.4324,High Spender
31,Williemae Holloway,Oakland,CA,3,19756.6432,6585.547733333333,High Spender
1023,Adena Blake,Ballston Spa,NY,1,19329.9492,19329.9492,High Spender
2,Kasha Todd,Campbell,CA,3,19329.0849,6443.028300000001,High Spender
33,Deloris Burke,Palos Verdes Peninsula,CA,3,19043.9036,6347.967866666667,High Spender
82,Lizzie Joyner,Coachella,CA,2,18995.0137,9497.50685,High Spender
91,Marvin Mullins,San Diego,CA,2,18856.877,9428.4385,High Spender
464,Bess Mcbride,Garden City,NY,1,18853.3544,18853.3544,High Spender
1100,Penny Acevedo,Ballston Spa,NY,1,18670.9288,18670.9288,High Spender
227,Danielle Bond,Patchogue,NY,1,18553.73,18553.73,High Spender
108,Shae Hickman,Floral Park,NY,1,18281.4729,18281.4729,High Spender
1007,Jimmy Russell,Howard Beach,NY,1,18278.9436,18278.9436,High Spender
525,Andreas Mayer,New Rochelle,NY,1,18114.9309,18114.9309,High Spender
32,Araceli Golden,Fullerton,CA,3,18037.285,6012.428333333333,High Spender
157,Carola Rodriquez,Banning,CA,2,17861.1996,8930.5998,High Spender
289,Charmain Webster,Richardson,TX,1,17834.9634,17834.9634,High Spender
39,Janetta Aguirre,Lancaster,NY,2,17783.487399999998,8891.743699999999,High Spender
1037,Ashanti Hammond,Nanuet,NY,1,17758.349,17758.349,High Spender
182,Jenniffer Bullock,Bay Shore,NY,1,17746.5951,17746.5951,High Spender
1005,Ruthanne Franco,Astoria,NY,1,17611.957000000002,17611.957000000002,High Spender
607,Paul Lester,Vista,CA,1,17580.7168,17580.7168,High Spender
5,Charolette Rice,Sacramento,CA,3,17520.2919,5840.0973,High Spender
1421,Edris Barrett,Plattsburgh,NY,1,17494.9405,17494.9405,High Spender
339,Tamela Harrell,Central Islip,NY,1,17479.957000000002,17479.957000000002,High Spender
383,Ashlee Pena,Whitestone,NY,1,17305.9384,17305.9384,High Spender
40,Ronna Butler,Encino,CA,3,17240.5623,5746.8541000000005,High Spender
54,Fran Yang,Utica,NY,2,17225.4439,8612.72195,High Spender
109,Monica Sears,San Jose,CA,2,17193.9034,8596.9517,High Spender
